CONTRACT_ID,PLAN_ID,RXCUI,TIER,QUANTITY_LIMIT_YN,QUANTITY_LIMIT_AMOUNT,QUANTITY_LIMIT_DAYS,PRIOR_AUTH_YN,STEP_THERAPY_YN,CAPPED_BENEFIT_YN
H0028,14,312950,1,1,6,30,N,N,N
H0028,14,1551474,2,1,120,30,Y,N,N
H0028,14,314228,1,1,6,30,N,N,N
H0028,14,314229,1,1,6,30,N,N,N
H0028,16,312950,1,1,6,30,N,N,N
H0028,16,1551474,2,1,120,30,Y,N,N
H0028,16,314228,1,1,6,30,N,N,N
H0028,16,314229,1,1,6,30,N,N,N
H0028,17,312950,1,1,6,30,N,N,N
H0028,17,1551474,2,1,120,30,Y,N,N
H0028,17,314228,1,1,6,30,N,N,N
H0028,17,314229,1,1,6,30,N,N,N
H0028,19,312950,1,1,6,30,N,N,N
H0028,19,1551474,2,1,120,30,Y,N,N
H0028,19,314228,1,1,6,30,N,N,N
H0028,19,314229,1,1,6,30,N,N,N
H0028,21,312950,1,1,6,30,N,N,N
H0028,21,1551474,2,1,120,30,Y,N,N
H0028,21,314228,1,1,6,30,N,N,N
H0028,21,314229,1,1,6,30,N,N,N
H0028,24,312950,1,1,6,30,N,N,N
H0028,24,1551474,2,1,120,30,Y,N,N
H0028,24,314228,1,1,6,30,N,N,N
H0028,24,314229,1,1,6,30,N,N,N
H0028,25,312950,1,1,6,30,N,N,N
H0028,25,1551474,2,1,120,30,Y,N,N
H0028,25,314228,1,1,6,30,N,N,N
H0028,25,314229,1,1,6,30,N,N,N
H0028,27,312950,1,1,6,30,N,N,N
H0028,27,1551474,2,1,120,30,Y,N,N
H0028,27,314228,1,1,6,30,N,N,N
H0028,27,314229,1,1,6,30,N,N,N
H0028,28,312950,1,1,6,30,N,N,N
H0028,28,1551474,2,1,120,30,Y,N,N
H0028,28,314228,1,1,6,30,N,N,N
H0028,28,314229,1,1,6,30,N,N,N
H0028,47,312950,1,1,6,30,N,N,N
H0028,47,1551474,2,1,120,30,Y,N,N
H0028,47,314228,1,1,6,30,N,N,N
H0028,47,314229,1,1,6,30,N,N,N
H0028,48,312950,1,1,6,30,N,N,N
H0028,48,1551474,2,1,120,30,Y,N,N
H0028,48,314228,1,1,6,30,N,N,N
H0028,48,314229,1,1,6,30,N,N,N
H0028,51,312950,1,1,6,30,N,N,N
H0028,51,1551474,2,1,120,30,Y,N,N
H0028,51,314228,1,1,6,30,N,N,N
H0028,51,314229,1,1,6,30,N,N,N
H0028,53,312950,1,1,6,30,N,N,N
H0028,53,1551474,2,1,120,30,Y,N,N
H0028,53,314228,1,1,6,30,N,N,N
H0028,53,314229,1,1,6,30,N,N,N
H0028,54,312950,1,1,6,30,N,N,N
H0028,54,1551474,2,1,120,30,Y,N,N
H0028,54,314228,1,1,6,30,N,N,N
H0028,54,314229,1,1,6,30,N,N,N
H0028,55,312950,1,1,6,30,N,N,N
H0028,55,1551474,2,1,120,30,Y,N,N
H0028,55,314228,1,1,6,30,N,N,N
H0028,55,314229,1,1,6,30,N,N,N
H0028,56,312950,1,1,6,30,N,N,N
H0028,56,1551474,2,1,120,30,Y,N,N
H0028,56,314228,1,1,6,30,N,N,N
H0028,56,314229,1,1,6,30,N,N,N
